m_id,venue,t1_id,t2_id,wintype,city,man_of_the_match_id,match_winner,season_id
829720,Feroz Shah Kotla,6,5,by wickets,Delhi,394,5,8
829722,Wankhede Stadium,7,4,by runs,Mumbai,197,4,8
829724,M Chinnaswamy Stadium,2,11,by wickets,Bangalore,187,11,8
829726,"Sardar Patel Stadium, Motera",5,7,by wickets,Ahmedabad,306,5,8
829728,Eden Gardens,1,3,by wickets,Kolkata,334,1,8
829730,Maharashtra Cricket Association Stadium,4,6,by wickets,Pune,260,6,8
829732,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,11,5,by wickets,Visakhapatnam,85,5,8
829734,Wankhede Stadium,7,3,by wickets,Mumbai,73,3,8
829736,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,11,6,by runs,Visakhapatnam,154,6,8
829738,Maharashtra Cricket Association Stadium,4,1,by wickets,Pune,334,1,8
829740,"Sardar Patel Stadium, Motera",5,3,by wickets,Ahmedabad,85,5,8
829742,M Chinnaswamy Stadium,2,7,by runs,Bangalore,50,7,8
829744,Feroz Shah Kotla,6,1,by wickets,Delhi,232,1,8
829746,"Sardar Patel Stadium, Motera",5,4,Tie,Ahmedabad,100,4,8
829748,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,11,1,by runs,Visakhapatnam,187,11,8
829750,M Chinnaswamy Stadium,2,3,by runs,Bangalore,21,3,8
829752,Feroz Shah Kotla,6,7,by runs,Delhi,393,6,8
829754,"Sardar Patel Stadium, Motera",5,2,by wickets,Ahmedabad,378,2,8
829756,Wankhede Stadium,7,11,by runs,Mumbai,194,7,8
829758,"MA Chidambaram Stadium, Chepauk",3,4,by runs,Chennai,2,3,8
829762,Feroz Shah Kotla,6,2,by wickets,Delhi,296,2,8
829764,"Punjab Cricket Association Stadium, Mohali",4,11,by runs,Chandigarh,458,11,8
829766,Eden Gardens,1,6,by runs,Kolkata,67,1,8
829768,M Chinnaswamy Stadium,2,5,No Result,Bangalore,,,8
829770,"MA Chidambaram Stadium, Chepauk",3,1,by runs,Chennai,71,3,8
829772,Feroz Shah Kotla,6,4,by wickets,Delhi,371,6,8
829774,Wankhede Stadium,7,5,by runs,Mumbai,208,7,8
829776,M Chinnaswamy Stadium,2,1,by wickets,Bangalore,236,2,8
829778,"Rajiv Gandhi International Stadium, Uppal",11,3,by runs,Hyderabad,187,11,8
829780,"Punjab Cricket Association Stadium, Mohali",4,7,by runs,Chandigarh,383,7,8
829782,Brabourne Stadium,5,6,by runs,Mumbai,85,5,8
829784,"MA Chidambaram Stadium, Chepauk",3,2,by runs,Chennai,21,3,8
829786,Eden Gardens,1,11,by runs,Kolkata,232,1,8
829788,Wankhede Stadium,7,6,by wickets,Mumbai,50,7,8
829790,M Chinnaswamy Stadium,2,4,by runs,Bangalore,162,2,8
829792,Brabourne Stadium,5,11,by runs,Mumbai,216,11,8
