m_id,venue,t1_id,t2_id,wintype,city,man_of_the_match_id,match_winner,season_id
419156,"Vidarbha Cricket Association Stadium, Jamtha",8,2,by runs,Nagpur,256,8,3
419157,Brabourne Stadium,7,6,by runs,Mumbai,221,7,3
419158,"MA Chidambaram Stadium, Chepauk",3,1,by wickets,Chennai,201,3,3
419159,Sawai Mansingh Stadium,5,2,by wickets,Jaipur,158,2,3
419160,"MA Chidambaram Stadium, Chepauk",3,6,by wickets,Chennai,40,6,3
419161,Himachal Pradesh Cricket Association Stadium,4,8,by wickets,Dharamsala,57,8,3
419162,M Chinnaswamy Stadium,2,7,by runs,Bangalore,210,7,3
419163,Eden Gardens,1,5,by wickets,Kolkata,346,1,3
419164,Himachal Pradesh Cricket Association Stadium,4,3,by wickets,Dharamsala,20,3,3
419165,Feroz Shah Kotla,6,8,by runs,Delhi,56,8,3
419166,Eden Gardens,1,7,by wickets,Kolkata,83,1,3
419167,Dr DY Patil Sports Academy,2,7,by runs,Mumbai,221,7,3
419168,Dr DY Patil Sports Academy,3,8,by runs,Mumbai,248,3,3
419169,Dr DY Patil Sports Academy,2,8,by wickets,Mumbai,124,2,3
419170,Dr DY Patil Sports Academy,3,7,by runs,Mumbai,21,3,3
501203,"MA Chidambaram Stadium, Chepauk",3,1,by runs,Chennai,125,3,4
501204,"Rajiv Gandhi International Stadium, Uppal",8,5,by wickets,Hyderabad,39,5,4
501205,Nehru Stadium,9,2,by wickets,Kochi,110,2,4
501206,Feroz Shah Kotla,6,7,by wickets,Delhi,194,7,4
501207,Dr DY Patil Sports Academy,10,4,by wickets,Mumbai,273,10,4
501208,Eden Gardens,1,8,by runs,Kolkata,9,1,4
501209,Sawai Mansingh Stadium,5,6,by wickets,Jaipur,38,5,4
501210,M Chinnaswamy Stadium,2,7,by wickets,Bangalore,133,7,4
501211,"Punjab Cricket Association Stadium, Mohali",4,3,by wickets,Chandigarh,167,4,4
501212,Dr DY Patil Sports Academy,10,9,by wickets,Mumbai,231,10,4
501213,"Rajiv Gandhi International Stadium, Uppal",8,2,by runs,Hyderabad,94,8,4
501214,Sawai Mansingh Stadium,5,1,by wickets,Jaipur,40,1,4
501215,Wankhede Stadium,7,9,by wickets,Mumbai,2,9,4
501216,"MA Chidambaram Stadium, Chepauk",3,2,by runs,Chennai,19,3,4
501217,"Rajiv Gandhi International Stadium, Uppal",8,4,by wickets,Hyderabad,167,4,4
501218,Dr DY Patil Sports Academy,10,6,by wickets,Mumbai,27,6,4
501219,Eden Gardens,1,5,by wickets,Kolkata,151,1,4
501220,Nehru Stadium,9,3,by wickets,Kochi,2,9,4
501221,Feroz Shah Kotla,6,8,by runs,Delhi,65,8,4
501223,Wankhede Stadium,7,10,by wickets,Mumbai,126,7,4
501224,Eden Gardens,1,9,by runs,Kolkata,64,9,4
501225,"Punjab Cricket Association Stadium, Mohali",4,5,by runs,Chandigarh,100,4,4
501226,Wankhede Stadium,7,3,by runs,Mumbai,50,7,4
501227,Eden Gardens,1,2,by wickets,Kolkata,162,2,4
501228,Feroz Shah Kotla,6,4,by runs,Delhi,187,6,4
501229,"Rajiv Gandhi International Stadium, Uppal",8,7,by runs,Hyderabad,194,7,4
501230,Sawai Mansingh Stadium,5,9,by wickets,Jaipur,38,5,4
501231,"MA Chidambaram Stadium, Chepauk",3,10,by runs,Chennai,19,3,4
501232,Feroz Shah Kotla,6,2,by wickets,Delhi,8,2,4
501233,Dr DY Patil Sports Academy,10,3,by wickets,Mumbai,248,3,4
501234,Nehru Stadium,9,8,by runs,Kochi,84,8,4
501235,Feroz Shah Kotla,6,1,by runs,Delhi,87,1,4
501236,Sawai Mansingh Stadium,5,7,by wickets,Jaipur,192,5,4
501237,M Chinnaswamy Stadium,2,10,by runs,Bangalore,8,2,4
501238,Nehru Stadium,9,6,by runs,Kochi,41,6,4
501239,Eden Gardens,1,4,by wickets,Kolkata,140,1,4
501240,Sawai Mansingh Stadium,5,10,by wickets,Jaipur,52,5,4
501241,"MA Chidambaram Stadium, Chepauk",3,8,by runs,Chennai,109,3,4
501242,Wankhede Stadium,7,4,by runs,Mumbai,221,7,4
501243,Feroz Shah Kotla,6,9,by wickets,Delhi,294,9,4
501244,"Rajiv Gandhi International Stadium, Uppal",8,1,by runs,Hyderabad,31,1,4
501245,"MA Chidambaram Stadium, Chepauk",3,5,by wickets,Chennai,19,3,4
501246,Dr DY Patil Sports Academy,10,7,by runs,Mumbai,235,7,4
501247,Nehru Stadium,9,1,by runs,Kochi,104,9,4
501248,"Rajiv Gandhi International Stadium, Uppal",8,6,by wickets,Hyderabad,41,6,4
501249,M Chinnaswamy Stadium,2,4,by runs,Bangalore,162,2,4
501250,Eden Gardens,1,3,by runs,Kolkata,140,1,4
501251,Wankhede Stadium,7,6,by runs,Mumbai,208,7,4
501252,M Chinnaswamy Stadium,2,9,by wickets,Bangalore,162,2,4
501253,"Punjab Cricket Association Stadium, Mohali",4,10,by wickets,Chandigarh,235,10,4
501254,Sawai Mansingh Stadium,5,3,by runs,Jaipur,185,3,4
501255,"Rajiv Gandhi International Stadium, Uppal",8,10,by wickets,Hyderabad,253,10,4
501256,"Punjab Cricket Association Stadium, Mohali",4,7,by runs,Chandigarh,302,4,4
501257,Sawai Mansingh Stadium,5,2,by wickets,Jaipur,270,2,4
501258,"MA Chidambaram Stadium, Chepauk",3,6,by runs,Chennai,20,3,4
501259,Holkar Cricket Stadium,9,4,by wickets,Indore,88,4,4
501260,M Chinnaswamy Stadium,2,1,by wickets,Bangalore,162,2,4
501261,Wankhede Stadium,7,8,by runs,Mumbai,136,8,4
501262,Himachal Pradesh Cricket Association Stadium,4,6,by runs,Dharamsala,67,4,4
501263,Holkar Cricket Stadium,9,5,by wickets,Indore,104,9,4
501264,Dr DY Patil Sports Academy,10,8,by wickets,Mumbai,136,8,4
501265,Himachal Pradesh Cricket Association Stadium,4,2,by runs,Dharamsala,53,4,4
501266,"MA Chidambaram Stadium, Chepauk",3,9,by runs,Chennai,62,3,4
501267,Dr DY Patil Sports Academy,10,1,by wickets,Mumbai,31,1,4
501268,Wankhede Stadium,7,5,by wickets,Mumbai,32,5,4
501269,Himachal Pradesh Cricket Association Stadium,4,8,by runs,Dharamsala,42,8,4
501270,Feroz Shah Kotla,6,10,No Result,Delhi,,,4
501271,M Chinnaswamy Stadium,2,3,by wickets,Bangalore,162,2,4
501272,Eden Gardens,1,7,by wickets,Kolkata,275,7,4
501273,Wankhede Stadium,2,3,by wickets,Mumbai,21,3,4
501274,Wankhede Stadium,7,1,by wickets,Mumbai,126,7,4
501275,"MA Chidambaram Stadium, Chepauk",2,7,by runs,Chennai,162,2,4
501276,"MA Chidambaram Stadium, Chepauk",3,2,by runs,Chennai,185,3,4
548311,"MA Chidambaram Stadium, Chepauk",3,7,by wickets,Chennai,304,7,5
548312,Eden Gardens,1,6,by wickets,Kolkata,29,6,5
548313,Wankhede Stadium,7,10,by runs,Mumbai,306,10,5
548314,Sawai Mansingh Stadium,5,4,by runs,Jaipur,85,5,5
548315,M Chinnaswamy Stadium,2,6,by runs,Bangalore,110,2,5
548316,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,8,3,by runs,Visakhapatnam,35,3,5
548317,Sawai Mansingh Stadium,5,1,by runs,Jaipur,104,5,5
548318,Subrata Roy Sahara Stadium,10,4,by runs,Pune,307,10,5
548319,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,8,7,by wickets,Visakhapatnam,57,7,5
548320,M Chinnaswamy Stadium,2,1,by runs,Bangalore,151,1,5
548321,Feroz Shah Kotla,6,3,by wickets,Delhi,190,6,5
548322,Wankhede Stadium,7,5,by runs,Mumbai,221,7,5
548323,"MA Chidambaram Stadium, Chepauk",3,2,by wickets,Chennai,303,3,5
548324,"Punjab Cricket Association Stadium, Mohali",4,10,by wickets,Chandigarh,137,4,5
548325,Eden Gardens,1,5,by wickets,Kolkata,276,1,5
548326,Feroz Shah Kotla,6,8,by wickets,Delhi,158,6,5
548327,Subrata Roy Sahara Stadium,10,3,by wickets,Pune,157,10,5
548328,Eden Gardens,1,4,by runs,Kolkata,315,4,5
548329,M Chinnaswamy Stadium,2,5,by runs,Bangalore,85,5,5
548330,Wankhede Stadium,7,6,by wickets,Mumbai,293,6,5
548331,Sawai Mansingh Stadium,5,8,by wickets,Jaipur,104,5,5
548332,M Chinnaswamy Stadium,2,10,by wickets,Bangalore,162,2,5
548333,"Punjab Cricket Association Stadium, Mohali",4,1,by wickets,Chandigarh,40,1,5
548334,"Rajiv Gandhi International Stadium, Uppal",8,6,by wickets,Hyderabad,187,6,5
548335,"MA Chidambaram Stadium, Chepauk",3,10,by runs,Chennai,324,3,5
548336,"Punjab Cricket Association Stadium, Mohali",4,2,by wickets,Chandigarh,162,2,5
548337,"MA Chidambaram Stadium, Chepauk",3,5,by wickets,Chennai,303,3,5
548338,Feroz Shah Kotla,6,10,by runs,Delhi,1,10,5
548339,Wankhede Stadium,7,4,by wickets,Mumbai,100,4,5
548340,Barabati Stadium,8,1,by wickets,Cuttack,66,1,5
548341,Sawai Mansingh Stadium,5,2,by runs,Jaipur,110,2,5
548342,Subrata Roy Sahara Stadium,10,6,by wickets,Pune,41,6,5
548344,"Punjab Cricket Association Stadium, Mohali",4,7,by wickets,Chandigarh,208,7,5
548346,Subrata Roy Sahara Stadium,10,8,by runs,Pune,10,8,5
548347,Feroz Shah Kotla,6,7,by runs,Delhi,41,6,5
548348,"MA Chidambaram Stadium, Chepauk",3,4,by runs,Chennai,236,4,5
548349,Eden Gardens,1,2,by runs,Kolkata,40,1,5
548350,Feroz Shah Kotla,6,5,by runs,Delhi,41,6,5
548351,Wankhede Stadium,7,8,by wickets,Mumbai,94,7,5
548352,"MA Chidambaram Stadium, Chepauk",3,1,by wickets,Chennai,40,1,5
548353,Barabati Stadium,8,10,by runs,Cuttack,26,8,5
548354,Sawai Mansingh Stadium,5,6,by wickets,Jaipur,322,6,5
548355,M Chinnaswamy Stadium,2,4,by wickets,Bangalore,321,4,5
548356,Subrata Roy Sahara Stadium,10,7,by runs,Pune,194,7,5
548357,"MA Chidambaram Stadium, Chepauk",3,8,by runs,Chennai,21,3,5
548358,Eden Gardens,1,10,by runs,Kolkata,315,1,5
548359,"Punjab Cricket Association Stadium, Mohali",4,5,by runs,Chandigarh,32,5,5
548360,Wankhede Stadium,7,3,by wickets,Mumbai,147,7,5
548361,M Chinnaswamy Stadium,2,8,by wickets,Bangalore,110,2,5
548362,Feroz Shah Kotla,6,1,by wickets,Delhi,9,1,5
548363,Subrata Roy Sahara Stadium,10,5,by wickets,Pune,32,5,5
548364,"Rajiv Gandhi International Stadium, Uppal",8,4,by runs,Hyderabad,236,4,5
548365,Wankhede Stadium,7,2,by wickets,Mumbai,162,2,5
548366,Sawai Mansingh Stadium,5,3,by wickets,Jaipur,451,3,5
548367,Subrata Roy Sahara Stadium,10,2,by runs,Pune,162,2,5
548368,Eden Gardens,1,7,by runs,Kolkata,57,7,5
548369,"MA Chidambaram Stadium, Chepauk",3,6,by wickets,Chennai,451,3,5
548370,Sawai Mansingh Stadium,5,10,by runs,Jaipur,335,5,5
548371,"Punjab Cricket Association Stadium, Mohali",4,8,by wickets,Chandigarh,4,4,5
548372,M Chinnaswamy Stadium,2,7,by wickets,Bangalore,208,7,5
548373,Eden Gardens,1,3,by wickets,Kolkata,19,3,5
548374,Feroz Shah Kotla,6,4,by wickets,Delhi,232,6,5
548375,Wankhede Stadium,7,1,by runs,Mumbai,315,1,5
548376,Himachal Pradesh Cricket Association Stadium,4,3,by wickets,Dharamsala,53,4,5
548377,Feroz Shah Kotla,6,2,by runs,Delhi,162,2,5
548378,"Rajiv Gandhi International Stadium, Uppal",8,5,by wickets,Hyderabad,94,8,5
548379,Himachal Pradesh Cricket Association Stadium,4,6,by wickets,Dharamsala,232,6,5
548380,Subrata Roy Sahara Stadium,10,1,by runs,Pune,276,1,5
548381,"Rajiv Gandhi International Stadium, Uppal",8,2,by runs,Hyderabad,94,8,5
548382,Sawai Mansingh Stadium,5,7,by wickets,Jaipur,147,7,5
548383,Subrata Roy Sahara Stadium,6,1,by runs,Pune,31,1,5
548384,M Chinnaswamy Stadium,3,7,by runs,Bangalore,20,3,5
548385,"MA Chidambaram Stadium, Chepauk",6,3,by runs,Chennai,185,3,5
548386,"MA Chidambaram Stadium, Chepauk",1,3,by wickets,Chennai,214,1,5
598003,Eden Gardens,1,6,by wickets,Kolkata,315,1,6
598004,M Chinnaswamy Stadium,2,7,by runs,Bangalore,162,2,6
598005,"Rajiv Gandhi International Stadium, Uppal",11,10,by runs,Hyderabad,136,11,6
598006,Feroz Shah Kotla,6,5,by runs,Delhi,6,5,6
598007,"MA Chidambaram Stadium, Chepauk",3,7,by runs,Chennai,221,7,6
598008,Subrata Roy Sahara Stadium,10,4,by wickets,Pune,345,4,6
598009,"Rajiv Gandhi International Stadium, Uppal",11,2,Tie,Hyderabad,340,11,6
598010,Sawai Mansingh Stadium,5,1,by runs,Jaipur,39,5,6
598011,Wankhede Stadium,7,6,by runs,Mumbai,88,7,6
598012,"Punjab Cricket Association Stadium, Mohali",4,3,by wickets,Chandigarh,19,3,6
598013,M Chinnaswamy Stadium,2,1,by wickets,Bangalore,162,2,6
598014,Subrata Roy Sahara Stadium,10,5,by wickets,Pune,254,10,6
598015,Feroz Shah Kotla,6,11,by wickets,Delhi,136,11,6
598016,Wankhede Stadium,7,10,by runs,Mumbai,57,7,6
598017,"MA Chidambaram Stadium, Chepauk",3,2,by wickets,Chennai,35,3,6
598018,Eden Gardens,1,11,by runs,Kolkata,40,1,6
598019,Sawai Mansingh Stadium,5,4,by wickets,Jaipur,310,5,6
598020,"MA Chidambaram Stadium, Chepauk",3,10,by runs,Chennai,306,10,6
598021,"Punjab Cricket Association Stadium, Mohali",4,1,by runs,Chandigarh,120,4,6
598022,M Chinnaswamy Stadium,2,6,Tie,Bangalore,8,2,6
598023,Subrata Roy Sahara Stadium,10,11,by runs,Pune,136,11,6
598024,Sawai Mansingh Stadium,5,7,by runs,Jaipur,85,5,6
598025,Feroz Shah Kotla,6,3,by runs,Delhi,19,3,6
598026,"Rajiv Gandhi International Stadium, Uppal",11,4,by wickets,Hyderabad,340,11,6
598027,Eden Gardens,1,3,by wickets,Kolkata,35,3,6
598028,M Chinnaswamy Stadium,2,5,by wickets,Bangalore,81,2,6
598029,Feroz Shah Kotla,6,7,by wickets,Delhi,41,6,6
598030,"Punjab Cricket Association Stadium, Mohali",4,10,by wickets,Chandigarh,320,4,6
598031,"MA Chidambaram Stadium, Chepauk",3,5,by wickets,Chennai,19,3,6
598032,M Chinnaswamy Stadium,2,10,by runs,Bangalore,162,2,6
598033,Himachal Pradesh Cricket Association Stadium,4,6,by runs,Dharamsala,320,4,6
598034,Eden Gardens,1,7,by wickets,Kolkata,147,7,6
598035,"MA Chidambaram Stadium, Chepauk",3,11,by wickets,Chennai,20,3,6
598036,Eden Gardens,1,4,by wickets,Kolkata,9,1,6
598037,Sawai Mansingh Stadium,5,11,by wickets,Jaipur,310,5,6
598038,Wankhede Stadium,7,2,by runs,Mumbai,147,7,6
598039,"MA Chidambaram Stadium, Chepauk",3,1,by runs,Chennai,19,3,6
598040,Shaheed Veer Narayan Singh International Stadium,6,10,by runs,Raipur,187,6,6
598041,Sawai Mansingh Stadium,5,2,by wickets,Jaipur,351,5,6
598042,Wankhede Stadium,7,4,by runs,Mumbai,57,7,6
598043,Subrata Roy Sahara Stadium,10,3,by runs,Pune,20,3,6
598044,"Rajiv Gandhi International Stadium, Uppal",11,7,by wickets,Hyderabad,84,11,6
598045,Shaheed Veer Narayan Singh International Stadium,6,1,by wickets,Raipur,187,6,6
598046,"MA Chidambaram Stadium, Chepauk",3,4,by runs,Chennai,21,3,6
598047,Subrata Roy Sahara Stadium,10,2,by runs,Pune,110,2,6
598048,Eden Gardens,1,5,by wickets,Kolkata,31,1,6
598049,"Rajiv Gandhi International Stadium, Uppal",11,6,by wickets,Hyderabad,362,11,6
598050,M Chinnaswamy Stadium,2,4,by wickets,Bangalore,53,4,6
598051,Wankhede Stadium,7,3,by runs,Mumbai,357,7,6
598052,Sawai Mansingh Stadium,5,10,by wickets,Jaipur,85,5,6
598053,M Chinnaswamy Stadium,2,11,by wickets,Bangalore,8,2,6
598054,Sawai Mansingh Stadium,5,6,by wickets,Jaipur,85,5,6
598055,Wankhede Stadium,7,1,by runs,Mumbai,133,7,6
598056,"Rajiv Gandhi International Stadium, Uppal",11,3,by runs,Hyderabad,21,3,6
598057,"Punjab Cricket Association Stadium, Mohali",4,5,by wickets,Chandigarh,309,5,6
598058,Subrata Roy Sahara Stadium,10,1,by runs,Pune,40,1,6
598059,Feroz Shah Kotla,6,2,by runs,Delhi,346,2,6
598060,Subrata Roy Sahara Stadium,10,7,by wickets,Pune,357,7,6
598061,"Punjab Cricket Association Stadium, Mohali",4,11,by runs,Chandigarh,17,11,6
